#ClinGen Gene Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
KATNAL2	83473	18q21.1	chr18:47108156-47292540	1	Little evidence for dosage pathogenicity	22495311	22495309	28191889				0	No evidence available							2018-11-28		
KCNH1	3756	1q32.2	chr1:209918654-210379845	0	No evidence available	33494179	34312540	31175295	32938993			0	No evidence available							2023-06-28	MONDO:0100485	
KCNH2	3757	7q36.1	chr7:152117824-152151201	3	Sufficient evidence for dosage pathogenicity		18774102	24530480				0	No evidence available							2020-02-26	MONDO:0013367	
KCNJ1	3758	11q24.3	chr11:128868806-128899864	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-03-22	MONDO:0009424	
KCNJ6	3763	21q22.13	chr21:35989771-36505244	0	No evidence available							0	No evidence available							2024-12-10		
KCNK9	51305	8q24.3	chr8:140720918-140824230	0	No evidence available							0	No evidence available							2012-02-29	MONDO:0012856	
KCNQ1	3784	11p15.5-p15.4	chr11:2534007-2938419	3	Sufficient evidence for dosage pathogenicity	26669661	29532034	23098067				0	No evidence available							2020-10-13	MONDO:0100316	
KCNQ1OT1	10984	11p15.5	chr11:2697702-2789332	1	Little evidence for dosage pathogenicity	33177595	32447323	35772847	35772845	35906012		0	No evidence available							2023-12-06	MONDO:0008394	
KCNQ2	3785	20q13.33	chr20:65207872-65283556	3	Sufficient evidence for dosage pathogenicity	17675531	14534157					0	No evidence available							2013-07-18	MONDO:0007365	
KCNV2	169522	9p24.2	chr9:2720267-2732772	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012475	
KCTD7	154881	7q11.21	chr7:67848529-67868727	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0020074	
KDM5B	10765	1q32.1	chr1:201986695-202071146	1	Little evidence for dosage pathogenicity	24307393	28720891	25363768				0	No evidence available							2018-01-04		
KDM5C	8242	Xp11.22	chrX:52477591-52511686	3	Sufficient evidence for dosage pathogenicity	15586325	18697827	19826449	21575681	31419599	35904121	0	No evidence available							2023-07-27	MONDO:0020119	
KDM6A	7403	Xp11.3	chrX:44280009-44519820	3	Sufficient evidence for dosage pathogenicity	22197486	23076834					0	No evidence available							2013-07-18	MONDO:0010465	
KDM6B	23135	17p13.1	chr17:7738322-7760122	3	Sufficient evidence for dosage pathogenicity	37196654	31124279	25363768				0	No evidence available							2024-10-23	MONDO:0000508	
KERA	11081	12q21.33	chr12:91028004-91035533	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009014	
KHDC3L	154288	6q13	chr6:74539355-74540868	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013671	
KIF11	3832	10q23.33	chr10:93453441-93534736	3	Sufficient evidence for dosage pathogenicity	22284827	22653704					0	No evidence available							2013-08-01	MONDO:0007918	
KIF1A	547	2q37.3	chr2:241210495-241323256	0	No evidence available							0	No evidence available							2013-08-08		
KIF1C	10749	17p13.2	chr17:4888274-4918727	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012651	
KIF7	374654	15q26.1	chr15:87364719-87411386	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008708	
KIFBP	26128	10q22.1	chr10:69858236-69911981	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012280	
KISS1	3814	1q32.1	chr1:203454485-203461086	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013915	
KIT	3815	4q12	chr4:58146659-58229411	3	Sufficient evidence for dosage pathogenicity	15194144	11174389	25355368	36438053			0	No evidence available							2024-05-08	MONDO:0008244	
KLF14	136259	7q32.2	chr7:132044973-132048483	0	No evidence available							0	No evidence available							2012-04-28		
KLF8	11279	Xp11.21	chrX:55525687-55584861	0	No evidence available							0	No evidence available							2012-10-12		
KLK12	43849	19q13.41	chr19:54117607-54123786	40	Dosage sensitivity unlikely	32487729	22344438	32461654				0	No evidence available							2021-02-02		
KMT2A	4297	11q23.3	chr11:118455792-118546121	3	Sufficient evidence for dosage pathogenicity	22795537	24818805	27759909				0	No evidence available							2018-05-23	MONDO:0011518	
KMT2B	9757	19q13.12	chr19:38263287-38284192	3	Sufficient evidence for dosage pathogenicity	27839873	27992417					0	No evidence available							2017-05-11	MONDO:0015004	
KMT2C	58508	7q36.1	chr7:153307812-153609541	3	Sufficient evidence for dosage pathogenicity	23375656	22726846	29069077				0	No evidence available							2018-01-24	MONDO:0000508	
KMT2D	8085	12q13.12	chr12:48981150-49022967	3	Sufficient evidence for dosage pathogenicity	20711175	21671394	21607748				0	No evidence available							2020-01-23	MONDO:0007843	
KMT2E	55904	7q22.3	chr7:106328897-106429704	3	Sufficient evidence for dosage pathogenicity	31079897	34321323	33681112	32691224	25284784		0	No evidence available							2021-12-29	MONDO:0032793	
KMT5B	51111	11q13.2	chr11:68158479-68217441	3	Sufficient evidence for dosage pathogenicity	28191889	29276005	31238879	33004838	30559488	30564305	0	No evidence available							2023-06-13	MONDO:0100038	
KRT24	192666	17q21.2	chr17:41562356-41568083	40	Dosage sensitivity unlikely	32487729	32461654					0	No evidence available							2021-02-02		
KRT37	8688	17q21.2	chr17:42276077-42280115	40	Dosage sensitivity unlikely	32487729	32461654					0	No evidence available							2021-02-02		
L1CAM	3897	Xq28	chrX:152135195-152159857	3	Sufficient evidence for dosage pathogenicity	19846429	23820807					0	No evidence available	23820807						2020-12-02	MONDO:0010611	
L3MBTL1	26013	20q13.12	chr20:45222702-45284158	0	No evidence available							0	No evidence available							2012-08-29		
LAMA1	284217	18p11.31	chr18:7102299-7278323	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014419	
LAMA2	3908	6q22.33	chr6:130076331-130710229	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-11-28	MONDO:0100228	
LAMA3	3909	18q11.2	chr18:23883722-24150480	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0017612	
LAMC2	3918	1q25.3	chr1:182545585-182604464	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0017612	
LAMP2	3920	Xq24	chrX:118801613-118844831	3	Sufficient evidence for dosage pathogenicity	20173215	19588270	19057086	27145725	10972294	16565504	0	No evidence available							2021-02-09	MONDO:0010281	
LARGE1	9215	22q12.3	chr22:33627089-34380181	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0018276	
LBR	3930	1q42.12	chr1:224589793-224617216	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-02-23	MONDO:0008974	
LBX1	10660	10q24.32	chr10:102110349-102112818	0	No evidence available							0	No evidence available							2014-08-21		MONDO:0009525
LCA5	167691	6q14.1	chr6:80690503-80742966	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011473	
LCT	3938	2q21.3	chr2:136228325-136281636	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009115	
LDLR	3949	19p13.2	chr19:11216459-11260830	3	Sufficient evidence for dosage pathogenicity	33740630	15321837					0	No evidence available							2021-10-27	MONDO:0007750	
LEMD3	23592	12q14.3	chr12:65148505-65227374	3	Sufficient evidence for dosage pathogenicity	15489854	17087626	19438932				0	No evidence available							2020-10-19	MONDO:0008157	
LEPR	3953	1p31.3	chr1:65298629-65519352	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013992	
LETM1	3954	4p16.3	chr4:1809954-1854630	0	No evidence available							0	No evidence available							2012-02-03	MONDO:0008684	
LFNG	3955	7p22.3	chr7:2625971-2642596	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012349	
LHX3	8022	9q34.3	chr9:148425793-148434671	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009091	
LHX4	89884	1q25.2	chr1:179585702-179634371	1	Little evidence for dosage pathogenicity	11567216	18445675	23029363	25955177	27820671		0	No evidence available							2022-04-25	MONDO:0009880	
LIG4	3981	13q33.3	chr13:107433541-107444559	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011686	
LIMK1	3984	7q11.23	chr7:75286066-75325667	0	No evidence available							0	No evidence available							2012-08-22		
LINS1	55180	15q26.3	chr15:98314028-98357889	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013702	
LIPA	3988	10q23.31	chr10:90097466-90298400	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010204	
LITAF	9516	16p13.13	chr16:11583827-11672452	0	No evidence available							0	No evidence available							2016-10-21		
LMAN1	3998	18q21.32	chr18:59529314-59560731	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009206	
LMBR1	64327	7q36.3	chr7:157856661-158080995	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-10-18	MONDO:0008700	
LMNA	4000	1q22	chr1:155221038-155278530	3	Sufficient evidence for dosage pathogenicity	31983221	31476771					0	No evidence available							2023-12-14	MONDO:0007269	
LMNB1	4001	5q23.2	chr5:127296579-127357028	0	No evidence available							3	Sufficient evidence for dosage pathogenicity	16951681	23649844	28769756	30697589			2023-10-25		MONDO:0008215
LMTK3	114783	19q13.33	chr19:51479429-51508095	1	Little evidence for dosage pathogenicity	28263302	22542183					0	No evidence available							2018-07-25		
LMX1B	4010	9q33.3	chr9:138819355-138906454	3	Sufficient evidence for dosage pathogenicity	9618165	9837817	18414507				0	No evidence available							2020-11-10	MONDO:0008061	
LOXHD1	125336	18q21.1	chr18:46667533-46847775	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013119	
LPAR6	10161	13q14.2	chr13:47609884-47664972	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010206	
LPIN2	9663	18p11.31	chr18:3072495-3168675	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012316	
LRAT	9227	4q32.1	chr4:157958753-158084927	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013231	
LRBA	987	4q31.3	chr4:153588433-154339605	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013863	
LRP2	4036	2q31.1	chr2:169602803-169838534	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-04-24	MONDO:0009104	
LRP5	4041	11q13.2	chr11:68317024-68454184	1	Little evidence for dosage pathogenicity	15024691	34860240	25711638	28867931	30452590	35133048	0	No evidence available							2024-04-09	MONDO:0011151	
LRPAP1	4043	4p16.3	chr4:3503365-3532101	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014183	
LRPPRC	10128	2p21	chr2:43891557-44001591	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-03-20	MONDO:0009069	
LRRC6	23639	8q24.22	chr8:133693703-133798879	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013979	
LSS	4047	21q22.3	chr21:44570403-44611373	0	No evidence available							0	No evidence available							2012-09-06		
LYRM7	90624	5q23.3-q31.1	chr5:131689921-131724424	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014364	
LYST	1130	1q42.3	chr1:235057714-235280243	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008963	
MAD2L2	10459	1p36.22	chr1:11218548-11235705	0	No evidence available	28881617						0	No evidence available							2023-10-20		
MAFB	9935	20q12	chr20:42417334-42420722	0	No evidence available							0	No evidence available							2015-05-21		
MAGEL2	54551	15q11.2	chr15:21377970-21382288	1	Little evidence for dosage pathogenicity							0	No evidence available							2018-05-22		
MAGT1	84061	Xq21.1	chrX:76263304-76330651	3	Sufficient evidence for dosage pathogenicity	21796205	23846901	24550228	25504528	31714901	32451662	0	No evidence available							2021-09-22	MONDO:0010455	
MALT1	10892	18q21.32	chr18:58872604-58955588	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014197	
MAN2B1	4125	19p13.13	chr19:12771018-12791240	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009561	
MAOA	4128	Xp11.3	chrX:43061082-43153040	1	Little evidence for dosage pathogenicity	8211186						0	No evidence available							2012-09-26		
MAP2K1	5604	15q22.31	chr15:64208288-64313019	0	No evidence available							0	No evidence available							2015-10-13		
MAP3K1	4214	5q11.2	chr5:57643875-57724397	0	No evidence available							0	No evidence available							2013-08-22		
MAPT	4137	17q21.31	chr17:46756150-46889953	0	No evidence available							0	No evidence available							2012-05-08		
MARVELD2	153562	5q13.2	chr5:70241057-70269905	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012420	
MASP2	10747	1p36.22	chr1:10567802-10588801	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013423	
MATN3	4148	2p24.1	chr2:20025556-20046168	0	No evidence available							0	No evidence available							2014-03-12		
MAX	4149	14q23.3	chr14:59211038-59307534	3	Sufficient evidence for dosage pathogenicity	21685915	22452945	33815275	28384794			0	No evidence available							2021-07-20	MONDO:0008233	
MC2R	4158	18p11.21	chr18:14044399-14078045	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0024536	
MCCC1	56922	3q27.1	chr3:185820313-185922280	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008861	
MCEE	84693	2p13.3	chr2:71120697-71141279	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-25	MONDO:0009615	
MCFD2	90411	2p21	chr2:46906646-46946631	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013331	
MCPH1	79648	8p23.1	chr8:6161172-6402976	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009617	
MECP2	4204	Xq28	chrX:152295254-152410757	3	Sufficient evidence for dosage pathogenicity	31206249	10508514	16647997				0	No evidence available							2021-02-22	MONDO:0010726	MONDO:0010283
MED12	9968	Xq13.1	chrX:69552659-69576539	0	No evidence available	24039113						0	No evidence available							2018-08-22		
MED13L	23389	12q24.21	chr12:115938897-116258754	3	Sufficient evidence for dosage pathogenicity	24781760	25712080	25106414	29959045	33930262		0	No evidence available	25106414						2023-08-08	MONDO:0000508	
MEF2C	4208	5q14.3	chr5:89198250-89385367	3	Sufficient evidence for dosage pathogenicity	23389741	20513142	19592390				1	Little evidence for dosage pathogenicity							2020-02-26	MONDO:0013266	
MEFV	4210	16p13.3	chr16:3269087-3283689	0	No evidence available							0	No evidence available							2018-08-16		
MEG3	55384	14q32.2	chr14:95014316-95095921	1	Little evidence for dosage pathogenicity	20585555	24801763	31301299				0	No evidence available							2024-09-12	MONDO:0016779	
MEIS2	4212	15q14	chr15:34694657-34906708	3	Sufficient evidence for dosage pathogenicity	30291340	30735726	27225850	28934986	20425846	24678003	0	No evidence available							2021-09-14	MONDO:0000508	
MEN1	4221	11q13.1	chr11:64796820-64804601	3	Sufficient evidence for dosage pathogenicity	32780883	31044390	32430905				0	No evidence available							2022-01-12	MONDO:0007540	
MEST	4232	7q32.2	chr7:131799892-131820184	0	No evidence available							0	No evidence available							2012-04-04		
MET	4233	7q31.2	chr7:117987305-118113574	0	No evidence available							0	No evidence available							2012-09-06		
METTL23	124512	17q25.1	chr17:77623813-77630923	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014409	
MFHAS1	9258	8p23.1	chr8:10850500-10960846	0	No evidence available							0	No evidence available							2012-02-08		
MFN2	9927	1p36.22	chr1:11524300-11559348	0	No evidence available							0	No evidence available							2017-02-02		
MFRP	83552	11q23.3	chr11:119359579-119367342	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012605	
MFSD8	256471	4q28.2	chr4:131220825-131270076	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012588	
MGP	4256	12p12.3	chr12:14758207-14763200	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-02-08	MONDO:0009495	
MID1	4281	Xp22.2	chrX:10027869-10416184	3	Sufficient evidence for dosage pathogenicity	23791568	29456483	32656166	9354791	11030761	17221865	0	No evidence available							2021-08-23	MONDO:0010222	
MID2	11043	Xq22.3	chrX:106262491-106368728	0	No evidence available							0	No evidence available							2012-07-25		
MITF	4286	3p13	chr3:69776362-70005288	3	Sufficient evidence for dosage pathogenicity	27889061	31427586	30936914	20127975			0	No evidence available							2021-04-13	MONDO:0008671	
MKKS	8195	20p12.2	chr20:10444020-10477226	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0015229	
MLC1	23209	22q13.33	chr22:50566061-50592326	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0024555	
MLH1	4292	3p22.2	chr3:36994723-37052189	3	Sufficient evidence for dosage pathogenicity	14635101	15942939	16955466	33335961	30289396	33468175	0	No evidence available							2021-10-13	MONDO:0012249	
MLPH	79083	2q37.3	chr2:237976467-238045300	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012220	
MLYCD	23417	16q23.3	chr16:89964788-90016940	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009556	
MMAA	166785	4q31.21	chr4:148914861-148975850	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009613	
MMAB	326625	12q24.11	chr12:109528617-109548479	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-06-30	MONDO:0009614	
MMACHC	25974	1p34.1	chr1:45372667-45385751	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010184	
MMADHC	27249	2q23.2	chr2:150020083-150038224	30	Gene associated with autosomal recessive phenotype							0	No evidence available	22085900						2016-07-21	MONDO:0010185	
MMUT	4594	6p12.3	chr6:49272390-49305284	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-25	MONDO:0009612	
MNX1	3110	7q36.3	chr7:158181787-158198404	3	Sufficient evidence for dosage pathogenicity	18449898	10749657					0	No evidence available							2012-10-04	MONDO:0008305	
MOCS2	4338	5q11.2	chr5:53923465-53937849	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009644	
MOV10	4343	1p13.2	chr1:112685722-112713323	0	No evidence available	24463507	25363768	27824329				0	No evidence available							2019-03-12		
MPDZ	8777	9p23	chr9:13115021-13289090	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014085	
MPLKIP	136647	7p14.1	chr7:40283484-40292079	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0021013	
MRE11	4361	11q21	chr11:94422612-94500925	30	Gene associated with autosomal recessive phenotype							30	Gene associated with autosomal recessive phenotype							2023-12-19		
MSH2	4436	2p21-p16.3	chr2:47408101-47668146	3	Sufficient evidence for dosage pathogenicity	10850409	12203789	9843200	34203177	30710526		0	No evidence available							2021-10-13	MONDO:0005835	
MSH3	4437	5q14.1	chr5:81139552-81361456	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-05-08	MONDO:0044300	
MSH6	2956	2p16.3	chr2:47700528-47816012	3	Sufficient evidence for dosage pathogenicity	9354786	11709755	14974087	20028993	20487569	25318681	0	No evidence available							2021-10-13	MONDO:0013710	
MSL3	10943	Xp22.2	chrX:11340708-11358321	3	Sufficient evidence for dosage pathogenicity	30224647	33173220					0	No evidence available							2023-08-23	MONDO:0026730	
MSRB3	253827	12q14.3	chr12:65257667-65470901	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-23	MONDO:0019497	
MSX1	4487	4p16.2	chr4:4829290-4833545	3	Sufficient evidence for dosage pathogenicity	11369996	10742093	15264286				0	No evidence available							2021-01-12	MONDO:0007129	
MSX2	4488	5q35.2	chr5:175265558-175271855	1	Little evidence for dosage pathogenicity	14571277	16319823	16642368	10767351	16222674	10742103	0	No evidence available							2023-06-28	MONDO:0008197	
MTAP	4507	9p21.3	chr9:21816863-21951953	1	Little evidence for dosage pathogenicity							0	No evidence available							2022-10-12		
MTFMT	123263	15q22.31	chr15:62810917-62839049	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013987	
MTHFR	4524	1p36.22	chr1:11329802-11350539	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009353	
MTM1	4534	Xq28	chrX:148836740-148940792	3	Sufficient evidence for dosage pathogenicity	10790201	11793470	12522554				0	No evidence available							2021-01-11	MONDO:0010683	
MTMR2	8898	11q21	chr11:95829169-95932733	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011066	
MTO1	25821	6q13	chr6:74637973-74686339	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013865	
MTR	4548	1q43	chr1:236206309-236332317	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009609	
MTRR	4552	5p15.31	chr5:7790309-7845148	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009354	
MTTP	4547	4q23	chr4:102878850-102939426	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008692	
MUTYH	4595	1p34.1	chr1:45200720-45212450	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-11	MONDO:0012041	
MYBPC3	4607	11p11.2	chr11:47488226-47509533	3	Sufficient evidence for dosage pathogenicity	22820391	23816408	32973354	19574547	7493025		0	No evidence available							2023-01-10	MONDO:0007268	
MYCN	4613	2p24.3	chr2:15972182-15978638	3	Sufficient evidence for dosage pathogenicity	16906565	18671284	18470948				0	No evidence available							2017-07-12	MONDO:0008115	
MYH10	4628	17p13.1	chr17:8380367-8536858	1	Little evidence for dosage pathogenicity	25003005	25284784	25363768				0	No evidence available							2019-01-23	MONDO:0100038	
MYH11	4629	16p13.11	chr16:15708067-15861962	0	No evidence available	16444274	21937134					0	No evidence available							2024-09-25	MONDO:0019625	
MYH7	4625	14q11.2	chr14:17613744-17636658	0	No evidence available							0	No evidence available							2015-11-15		
MYH9	4627	22q12.3	chr22:36741430-36848142	1	Little evidence for dosage pathogenicity	37076359	31125547	31562665	24963352	26969326		0	No evidence available							2024-09-04	MONDO:0015912	
MYL2	4633	12q24.11	chr12:110890002-110900626	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-11-20	MONDO:0012112	
MYL3	4634	3p21.31	chr3:46851206-46898570	0	No evidence available							0	No evidence available							2015-11-18		
MYLK	4638	3q21.1	chr3:126330173-126610461	1	Little evidence for dosage pathogenicity	21055718	25907466					0	No evidence available							2016-01-14	MONDO:0013418	
MYO15A	51168	17p11.2	chr17:18055519-18126615	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0010860	
MYO1E	4643	15q22.2	chr15:56934526-57174966	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013589	
MYO3A	53904	10p12.1	chr10:25959075-26237044	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-03-06	MONDO:0011774	
MYO5A	4644	15q21.2	chr15:50115562-50337348	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008962	
MYO5B	4645	18q21.1	chr18:50024565-50396878	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	MONDO:0009635	
MYT1L	23040	2p25.3	chr2:1796915-2341940	3	Sufficient evidence for dosage pathogenicity	27824329	23033978	25232846				0	No evidence available							2017-03-09	MONDO:0014678	
NAA10	8260	Xq28	chrX:152202942-152208797	1	Little evidence for dosage pathogenicity	24431331						0	No evidence available							2022-08-09	MONDO:0100124	
NAA15	80155	4q31.1	chr4:142621100-142739685	3	Sufficient evidence for dosage pathogenicity	28191889	29656860	28263302				0	No evidence available							2021-04-13	MONDO:0000508	
NAALADL2	254827	3q26.31	chr3:177225512-178605522	0	No evidence available	15168106	22106001					0	No evidence available							2016-01-07		
NAF1	92345	4q32.2	chr4:166457943-166514759	1	Little evidence for dosage pathogenicity	36416722	27510903					0	No evidence available							2024-08-20	MONDO:0000148	
NAT8L	339983	4p16.3	chr4:2057805-2067569	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013549	
NBAS	51594	2p24.3	chr2:15197966-15592931	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013889	
NBEA	26960	13q13.3	chr13:34160609-34891359	3	Sufficient evidence for dosage pathogenicity	30269351	12746398					0	No evidence available							2019-06-26	MONDO:0100038	
NBN	4683	8q21.3	chr8:91056512-91126899	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2024-04-10	MONDO:0009623	
NCF1	653361	7q11.23	chr7:75976255-75991692	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-10-10	MONDO:0009309	
NCF2	4688	1q25.3	chr1:182914853-182950166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009310	
NCF4	4689	22q12.3	chr22:37316848-37336976	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013507	
NCKAP1	10787	2q32.1	chr2:183398094-183527880	3	Sufficient evidence for dosage pathogenicity	27632392	27824329	28940097				0	No evidence available							2017-12-27	MONDO:0100038	
NDE1	54820	16p13.11	chr16:15648172-15739629	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-04-29	MONDO:0013527	
NDN	4692	15q11.2	chr15:21419888-21421793	0	No evidence available							0	No evidence available							2012-04-26		
NDP	4693	Xp11.3	chrX:43354970-43379589	3	Sufficient evidence for dosage pathogenicity	8790105	1301161	1307245				0	No evidence available							2012-06-14	MONDO:0010691	
NDRG1	10397	8q24.22	chr8:134361278-134426109	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011085	
NDUFA1	4694	Xq24	chrX:118246954-118251785	0	No evidence available							0	No evidence available							2012-07-25		
NDUFA10	4705	2q37.3	chr2:240386250-240518469	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009723	
